,index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
1127,26753,2015-02-06,Debt collection,Credit card,False statements or representation,Indicated shouldn't respond to lawsuit,,,Johnson Mark LLC,UT,84005,Servicemember,,Web,2015-02-06,Closed with explanation,Yes,1227945
1128,25767,2015-06-09,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"This was never a debt I paid my account in full and had them pick up the equipment when we moved. Now they have put me in collections for items I do not owe on. 
",,Collection Bureau of America Ltd.,TX,762XX,,Consent provided,Web,2015-06-16,Closed with explanation,Yes,1413130
1129,56207,2015-11-22,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I am lodging a complaint against Midland Funding LLC XXXX XXXX, and XXXX as they are motioning for wage execution for a debt that I do not owe. I have explained to them that the debt was not mine, and they have not presented evidence to counter that. I have written to the court to dispute this, and they are still attempting to go forth with the motion despite my insistence on the fact that I did not make whatever purchases they are accusing me of, and are attempting to collect my wages. 
",,Encore Capital Group,NJ,088XX,,Consent provided,Web,2015-11-22,Closed with explanation,Yes,1667109
1130,11496,2015-05-07,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,Company chooses not to provide a public response,"Javitch, Block & Rathbone LLC",OH,44408,,,Referral,2015-05-15,Closed with explanation,Yes,1365705
1131,53586,2016-06-20,Debt collection,I do not know,Disclosure verification of debt,Right to dispute notice not received,,,Transworld Systems Inc.,NY,13827,,Consent not provided,Web,2016-06-20,Closed with explanation,Yes,1975208
1132,99871,2015-12-03,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,Company chooses not to provide a public response,"United Collection Bureau, Inc.",FL,33990,,,Referral,2016-01-08,Closed with explanation,Yes,1681353
1133,29052,2016-05-18,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,,,"Collection Bureau of the Hudson Valley, Inc.",NY,10013,,Consent not provided,Web,2016-05-18,Closed with explanation,Yes,1931843
1134,62023,2014-05-06,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,FL,34276,,,Web,2014-05-08,Closed with non-monetary relief,Yes,839591
1135,48671,2015-07-06,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I 'll try to make this brief : Beginning in XX/XX/XXXX, I began having problems with my XXXX phone and charges. I ordered a new phone through them and it was defective. I made several trips to the local XXXX store but problems continued and I was told the phone could not be repaired. They sent a new phone to the local store but then wanted {$20.00} shipping. I refused to pay that since the worthless, defective phone was not my fault, plus I DROVE to the store to pick it up. In the meantime, my XXXX charges went from the quoted {$85.00} per month to {$120.00} per month, with no explanation. Calls to customer service were useless and I finally got phone service with XXXX. I attempted to return the defective XXXX phone to XXXX different stores and they all REFUSED it. XXXX began contacting me, saying that I owed ridiculous amounts of money, then collection agencies began contacting me. DIVERSIFIED CONSULTANTS called me in XX/XX/XXXX and I told them what I am telling you -- that I did NOT owe this absurdly outrageous {$500.00}. The agent then asked me if I was disputing the charge and I said YES. He said that was fine and that he had made note of it and SOMEONE WOULD BE CONTACTING ME about the dispute. No one ever contacted me and I discovered today that DIVERSIFIED CONSULTANTS has reported this to XXXX XXXX as a collection/charge off!!! I called Diversified today and was told that this should NOT have gone against my credit since it was in dispute and that she would give the information to 'administration ' and for me to call back in two or three weeks. My credit score was XXXX out of XXXX, showing that I am a very honest and responsible person. XXXX has been wrong about these charges ( and their terrible customer service ) and Diversified has deliberately lied to me -- saying in XXXX that someone would be contacting me about my dispute -- when NO ONE contacted me and it was put against my credit. 
",,"Diversified Consultants, Inc.",SC,296XX,,Consent provided,Web,2015-07-06,Closed with explanation,Yes,1453357
1136,44129,2016-02-20,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"- A XXXX office erroneously sent a debt i never owed to a Quantum Collections in XXXX XXXX, NV - When XXXX tried to collect this debt i told them that this was an error and to contact the XXXX XXXX 
- The XXXX office told them that this was indeed an error and to remove the collection from all credit reports. 
- Quantum agreed to remove this collection but never did - Quantum proceeded to report a collection to all three credit agencies - I have a perfect credit report other than this XXXX collection - I have attached a letter from the XXXX office admitting to the error and asking for any investigators to call them for verification. 
- Quantum contact info is Quantum Collections XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NV XXXX ( XXXX ) XXXX 
",Company chooses not to provide a public response,"Nevada Credico, Inc.",CA,900XX,,Consent provided,Web,2016-02-20,Closed with explanation,Yes,1794855
1137,79884,2015-01-23,Debt collection,Credit card,Taking/threatening an illegal action,Sued where didn't live/sign for debt,,,"Rubin & Rothman, LLC",NY,14224,,,Web,2015-02-13,Closed with explanation,Yes,1205905
1138,94236,2015-03-09,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Citibank,TX,75098,,,Web,2015-03-09,Closed with non-monetary relief,Yes,1273258
1139,15000,2016-05-10,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"PayPal Holdings, Inc.",MS,39110,,Consent not provided,Web,2016-05-27,Closed with explanation,Yes,1917337
1140,116554,2015-03-31,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,,,Sterling Jewelers Inc.,PA,16130,,Consent not provided,Web,2015-03-31,Closed,Yes,1308516
1141,29917,2016-06-08,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes the complaint is the result of a misunderstanding,"Hunter Warfield, Inc.",CA,92122,,Consent not provided,Web,2016-06-08,Closed with explanation,Yes,1958448
1142,68453,2016-04-19,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"I check my creditor score and XXXX of XXXX was on it,",,Ad Astra Recovery Services Inc,NJ,077XX,Servicemember,Consent provided,Web,2016-05-31,Closed with explanation,Yes,1885934
1143,19147,2014-08-19,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Southwest Credit Systems, L.P.",MO,63367,,,Web,2014-08-19,Closed,Yes,989999
1144,76059,2013-10-23,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,,,Credit Corp Solutions Inc.,IL,61821,,,Web,2013-11-12,Closed with non-monetary relief,Yes,567865
1145,31186,2015-09-30,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,KeyBridge Medical Revenue Management,MI,49341,,,Postal mail,2015-10-02,Closed with explanation,Yes,1586654
1146,82363,2015-09-02,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,"We accidentally missed a payment in XXXX. We are approx. XXXX dollars past due as of XXXX payment. When we got a reminder in the mail and were unsure of the reason we called them to verify, discovered our mistake, confirmed the amount and said we would make good on the past due portion during our regular XXXX Payment which we then set up with the bank to go out on XXXX XXXX. However, since our self initiated call, we have received XXXX calls daily from Navient, trying to collect this past due payment. We have explained ourselves repeatedly and asked the calls be stopped. XXXX we were told the calls would stop for five days and they would put a note in the system. This has not happened. The calls have continued at a rate of XXXX times daily. We feel harassed, we are losing valuable time on the phone in repeated explanations and we have told them to stop or we would file a complaint. They have not stopped. This is our complaint. 
",,"Navient Solutions, Inc.",FL,336XX,Servicemember,Consent provided,Web,2015-09-06,Closed with explanation,Yes,1549403
1147,30065,2016-05-11,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,I have asked Trident Asset Mngmt to validate a collection they are reporting on my credit reports on XXXX/XXXX/16 and they have failed to provide anything that would support the fact that they are attempting to collect interest on a debt without an agreement or contract. Nor have they supplied anything other than a statement on XXXX of the collections. I told them that I would be reporting them to you but they obviously do n't fear you because they failed to delete themselves or answer questions about the debt ( s ) that they are using to damage me financially. Its damaging my credit and it is important to me.,,"Trident Asset Management, L.L.C.",MD,216XX,,Consent provided,Web,2016-05-11,Closed with non-monetary relief,Yes,1920813
1148,4145,2014-11-09,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,JPMorgan Chase & Co.,NV,89015,,,Web,2014-11-09,Closed with explanation,Yes,1109160
1149,26132,2014-11-13,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,Sunrise Credit Services Inc.,AR,72205,,,Web,2014-11-13,Closed with explanation,Yes,1114228
1150,38311,2015-10-13,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"Southwest Credit offered a settlement option which was fulfilled but never informed XXXX XXXX XXXX that the account was settled in full. I spoke with SW XXXX and they offered me a settlement of XXXX which was spilt into XXXX payments of XXXX. First payment was taken out of my account on XXXX and the other was taken XXXX XXXX. The supervisor I spoke with advised that I would get a paid in full letter after the second payment. An agent called me a couple days after the second and final payment and stated that I still owed a balance of XXXX. I then explained to that agent that I had already settled in full. He said the account was n't closed correctly and he would close the account correctly and that I would get a paid in full letter. I never got a paid in full letter, but I id see that it was credit reported as XXXX and zero balance. Then on October, XXXX I got a call from a different collection agency saying I owe a balance of XXXX and I never settled in full. I called Southwest Credit back and they said for the third time that they are sending a paid in full statement. I also called XXXX XXXX XXXX and they stated that Southwest Credit NEVER reported the payments nor did they report that the account was settled. It was still showed as an open account. 
",Company believes it acted appropriately as authorized by contract or law,"Southwest Credit Systems, L.P.",MN,559XX,,Consent provided,Web,2015-10-13,Closed,Yes,1603410
1151,91161,2013-08-31,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,Synchrony Financial,CA,95762,,,Web,2013-08-31,Closed with explanation,Yes,511098
1152,8370,2014-03-27,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,FirstPoint Collection Resources,NC,27215,,,Phone,2014-05-13,Closed with explanation,Yes,782017
1153,119065,2013-11-29,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,"Enova International, Inc.",MD,21133,,,Web,2013-11-29,Closed with explanation,Yes,616149
1154,32106,2014-05-02,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Debt Recovery Solutions, LLC",TX,75165,Servicemember,,Web,2014-05-02,Closed with explanation,Yes,836374
1155,35885,2014-05-06,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,NY,10009,,,Postal mail,2014-05-09,Closed with explanation,Yes,840225
1156,57342,2015-12-07,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"Diversified Consultants, Inc.",NY,14772,,,Postal mail,2015-12-11,Closed with explanation,Yes,1686447
1157,84024,2015-09-09,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"collection consultants has been reporting my account XXXX. XXXX the credit agency XXXX i have spoken with them many times and request original documentation to show why and how i owe this money they are not able to produce any documentation to verify my debt, i have also requested from credit agency to please provide verifiable proof or remove it from my file. and it did not happened 
",,Collection Consultants of California,CA,926XX,,Consent provided,Web,2015-09-09,Closed with explanation,Yes,1557510
1158,2521,2014-08-26,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,"Portfolio Recovery Associates, Inc.",MI,49202,,,Postal mail,2014-09-02,Closed with explanation,Yes,1000786
1159,28847,2015-12-19,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,,,"National Principal Group, LLC",OH,45342,,Consent not provided,Web,2015-12-21,Closed with explanation,Yes,1707767
1160,40310,2016-03-09,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WAKEFIELD & ASSOCIATES, INC.",FL,329XX,"Older American, Servicemember",Other,Web,2016-03-09,Closed with explanation,Yes,1824833
1161,42385,2016-03-17,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,"Called multiple times, I explained I am handling this issue on my own, I do n't have the money to pay. I ask to please stop calling on XXXX/XXXX/16 at XXXX XXXX. I just received a call at XXXX on XXXX/XXXX/2016 
",,"Diversified Consultants, Inc.",CA,917XX,,Consent provided,Web,2016-04-04,Closed with explanation,Yes,1837874
1162,4171,2015-06-22,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,IL,62040,,Consent not provided,Web,2015-06-22,Closed with explanation,Yes,1431094
1163,43792,2014-05-01,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Capital One,NH,03077,Older American,,Web,2014-05-06,Closed with explanation,Yes,834757
1164,83599,2015-11-24,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I received communication that I owed a debt to an old apartment complex I stayed in for only a month. I left the place because of their lack of security, roach infestation and loud obnoxious neighbors. I went to court because they said I had not paid my rent. I had money orders etc to show it was paid yet they still sought legal action against me. I responded to the judge and explained the situation thoroughly. The judge then waited the allotted time for the lawyers to respond and they never did. The case was then dropped due to lack of prosecution. I found out later when applying for a job that the apartment complex sold the assumed debt to a third party debt collection agency. I sent over the court documents showing the case never had a judgment placed on me yet they still try and pursue payment. I submitted documents to the credit bureaus and all debt was removed from my credit reports. This month I tried applying for a loan and was denied because a eviction showed up on my credit report. I need this stressful situation resolved because they are causing me undo stress as well as embarrassment. 
",,"Professional Debt Mediation, Inc.",AL,352XX,,Consent provided,Web,2015-11-24,Closed with explanation,Yes,1670175
1165,56767,2016-06-13,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"Stellar Recovery Inc. has placed a collection report for {$100.00} on my XXXX report as of XXXX/XXXX/2016 with no communications via mail or phone. If they claim to have notified by mail, I have not received them. 
",Company believes it acted appropriately as authorized by contract or law,Stellar Recovery Inc.,NM,871XX,,Consent provided,Web,2016-06-13,Closed with explanation,Yes,1965331
1166,117987,2014-02-28,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",TX,79930,,,Phone,2014-03-05,Closed with explanation,Yes,736866
1167,113859,2014-10-04,Debt collection,I do not know,Communication tactics,Called outside of 8am-9pm,,,Citibank,CA,92336,,,Web,2014-10-09,Closed with non-monetary relief,Yes,1058335
1168,76036,2014-04-03,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Bennett Law PLLC,OH,43204,,,Web,2014-04-09,Closed with explanation,Yes,792702
1169,72347,2015-02-19,Debt collection,I do not know,Communication tactics,Called after sent written cease of comm,,,Law Offices of Donald R Conrad P.C.,NY,11372,,,Referral,2015-03-19,Closed with explanation,Yes,1247032
1170,70954,2016-05-12,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"FAIR COLLECTIONS & OUTSOURCING, INC.",MD,21117,,Consent not provided,Web,2016-05-12,Closed with explanation,Yes,1922214
1171,3697,2014-06-24,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Miller Davis & Peoples,FL,33322,,,Web,2014-06-26,Closed with explanation,Yes,908182
1172,52673,2015-03-09,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Portfolio Recovery Associates, Inc.",FL,32336,Servicemember,,Web,2015-03-09,Closed with explanation,Yes,1273755
1173,3693,2016-01-04,Debt collection,Credit card,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,"Usaa. Debt collection tactics with XXXX 
",Company can't verify or dispute the facts in the complaint,USAA Savings,NC,270XX,,Consent provided,Web,2016-01-07,Closed with explanation,Yes,1726671
1174,55443,2016-02-06,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Around XXXX XXXX Midland credit called my cell phone and asked me why I did not pay my XXXX XXXX card today and what will it take to settle this debt today. I told them I do not know what they are talking about, and they proceeded to ask me why do n't i want to pay the debt I owe. I told them I do not have a XXXX XXXX credit card, they wanted my social security number that I refused to give them, the person who they are looking for is an XXXX something year old person I told them its not me and they finally agreed to remove me from their list. I come home and the home phone rings same company once again I told them I already told you to remove me from your list this is harassment whomever your looking for does n't live here, they said OK verify your social again i refused they told me they would remove me from their list. They stopped calling for a few weeks and now this week they started calling again every day they call me trying to tell me I owe them XXXX XXXX debt. 
",,Encore Capital Group,CT,064XX,,Consent provided,Web,2016-02-06,Closed with explanation,Yes,1775272
1175,22101,2014-10-07,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"Diversified Consultants, Inc.",WA,98532,Older American,,Fax,2014-10-14,Closed with explanation,Yes,1060564
1176,55859,2014-09-29,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,TX,76137,,,Web,2014-09-29,Closed with explanation,Yes,1050044
1177,71478,2016-03-09,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,Company believes complaint is the result of an isolated error,"Farrell Holdings, LLC",NV,89081,,Consent not provided,Web,2016-04-02,Closed with explanation,Yes,1825111
1178,4648,2013-09-25,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Northland Group, Inc.",TX,75154,,,Referral,2013-09-26,Closed with explanation,Yes,542358
1179,105980,2015-11-24,Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,,Company believes it acted appropriately as authorized by contract or law,"Machol & Johannes, LLC",CO,80917,Older American,Consent not provided,Web,2015-11-24,Closed with explanation,Yes,1670858
1180,99461,2014-02-10,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Afni, Inc.",UT,84094,,,Web,2014-02-09,Closed with explanation,Yes,705948
1181,110708,2016-01-24,Debt collection,Medical,Taking/threatening an illegal action,Seized/Attempted to seize property,"I 'm not certain if this choice best describes my situation. I had a medical bill from XXXX XXXX XXXX that was forwarded to Med-1 Solutions, LLC. The bill was from XX/XX/XXXX. I was unable to pay the bill do to my financial situation at the time it was incurred. I was unable to make payments on the debt during this period because of continued financial hardship. I received a notice from Med-1 that they would be taking me to court for the bill XXXX/XXXX/XXXX. The week prior to the court date I called and spoke with one of their representatives in their legal department. I advised her of my financial situation and asked if I would be able to make payment arrangements for the bill. She said I could. We worked out arrangements were I would make {$100.00} payments on the XXXX of each month, starting XXXX/XXXX/XXXX. She stated that she would forward me paperwork that I would need to fill out for them to deduct the payments automatically from my account. I agreed to do so. I received the paperwork the following week. I had not sent the paperwork back with my account information so they could start deducting the {$100.00} agreed upon amount on XXXX/XXXX/XXXX, when I noticed on XXXX/XXXX/XXXX that Med-1 had deducted a {$100.00} payment from my checking account on XXXX/XXXX/XXXX. This caused me to be quite embarrassed when I went to purchase lunch and was informed my card was being declined. I was also charged a {$37.00} overdraft fee on my account because their payment caused me to go in the negative. I called Med 1 that day and advised a representative of what happened. She said that she saw that arrangement in the notes pertaining to the {$100.00} payments starting on XXXX/XXXX/XXXX and did not know why the payment was taken out XXXX/XXXX/XXXX. I asked the representative how they obtained my bank account information since I had never sent them their paperwork back yet and that I would like to be reimbursed the {$37.00} fee. She could not answer that question and advised that she would have a supervisor listen to the call and get back with me. That has been over a month and I have yet to receive a call back. Since then I have received another collection notice from Med-1 for another XXXX XXXX XXXX bill that I have disputed with the original creditor. I have not contacted Med-1 since. 
",,"Med-1 Solutions, LLC",IN,462XX,,Consent provided,Web,2016-01-24,Closed with explanation,No,1755254
1182,2944,2016-06-16,Debt collection,Credit card,Communication tactics,Called after sent written cease of comm,"This organization claims that they do not have written authorization to cease communications other than in writing. I will again send this information to them however, the representative said that she will continue to call until I provide banking information which will allow them to automatically withdraw funds from my account each month. I will mail the agreed payments to them however, she stated that is not good enough and she will continue to call because they do n't consider it an arrangement or agreement unless they can automatically withdraw payments from my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Synchrony Financial,GA,302XX,Servicemember,Consent provided,Web,2016-06-16,Closed with explanation,Yes,1971138
1183,61323,2014-05-10,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Commonwealth Financial Systems, Inc.",NY,12525,Older American,,Web,2014-05-14,Closed with explanation,Yes,846679
1184,3160,2016-01-26,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I was paying for a total of XXXX season passes for my family. One day, my daughter used my pass instead of hers. At XXXX XXXX my card was given back after realizing the resemblance and the issue was correct after noticing the obvious mistake. However, my card was blocked and I was not allowed back in the park the next time I tried to use it with my family. We never successfully completed this and agreed to part ways without further payment. I also agreed again with this company to pay another account for season pass and this one would be removed which it has not as agreed. 
",Company believes it acted appropriately as authorized by contract or law,"Aargon Agency, Inc.",GA,300XX,,Consent provided,Web,2016-01-26,Closed with explanation,No,1758505
1185,38996,2015-02-20,Debt collection,Payday loan,Improper contact or sharing of info,Contacted employer after asked not to,,,"Bliksum, LLC",CA,96007,,,Web,2015-03-02,Closed with explanation,Yes,1249300
1186,107572,2015-11-30,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt was paid,,,"National Principal Group, LLC",OH,45245,,Consent not provided,Web,2015-12-03,Closed with explanation,Yes,1675543
1187,65373,2015-10-23,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,Wells Fargo & Company,MD,21229,,,Referral,2015-10-27,Closed with explanation,No,1621640
1188,25264,2015-05-28,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"I.Q. Data International, Inc.",MI,48192,,Consent not provided,Web,2015-05-28,Closed with explanation,Yes,1395538
1189,43751,2014-01-20,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,Resurgent Capital Services L.P.,TX,75024,,,Web,2014-01-24,Closed with explanation,Yes,676300
1190,43817,2016-04-15,Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,,,Credit Card Receivables Fund Incorporated,CA,92562,,Consent not provided,Web,2016-04-15,Closed with explanation,Yes,1880975
1191,28114,2015-06-19,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"URS Holding, LLC",FL,33852,,,Referral,2015-06-23,Closed with explanation,Yes,1429268
1192,33456,2014-08-12,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"EOS Holdings, Inc.",NY,13206,Older American,,Phone,2014-08-14,Closed with explanation,Yes,980217
1193,118936,2015-05-11,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,,Company believes it acted appropriately as authorized by contract or law,"Express Recovery Services, Inc.",AZ,85281,,Consent not provided,Web,2015-05-11,Closed with explanation,Yes,1368908
1194,11563,2015-01-04,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,TekCollect Inc.,TX,77054,,,Web,2015-01-20,Closed with explanation,Yes,1179865
1195,95346,2014-04-14,Debt collection,Payday loan,Disclosure verification of debt,Right to dispute notice not received,,,Delbert Services,AZ,85009,,,Web,2014-04-14,Closed with explanation,Yes,808797
1196,13653,2015-08-01,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,"The original bill was {$930.00} from XXXX XXXX group. I paid {$500.00} to XXXX XXXX group then paid {$100.00} then they sent me to collection and charge me {$240.00} collection agency fee. Then I paid XXXX XXXX group {$160.00} that is when I found out I was in collection and they also charge me this collection agency fee. I contacted the collection agency and submitted all my records and the still refuse to listen. I called again to try and settle and have them adjust the fee they refused 
",Company believes it acted appropriately as authorized by contract or law,"Capital Accounts, LLC",CA,913XX,,Consent provided,Web,2015-08-07,Closed with explanation,Yes,1497931
1197,76899,2015-09-16,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"Southwest Credit Systems, L.P.",VA,20181,,,Phone,2015-09-21,Closed,Yes,1567398
1198,58263,2016-06-22,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"CB1, Inc.",MT,598XX,,Other,Web,2016-06-22,Closed with explanation,Yes,1980576
1199,30258,2016-03-14,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"This company placed a debt from XXXX on my Credit Report on or around XXXX. The only way I knew it was placed there was through monitoring of my credit report. No mailings or phone calls were sent or received at all! I immediately phoned them to tell them that this was a XXXX claim involving an Attorney. I provided the name and number of the Attorney and requested the accounts be removed from all XXXX ( 3 ) credit reporting agencies immediately! It is now XXXX/XXXX/XXXX and they still have not removed XXXX of the accounts - XXXX. In calling this morning, XXXX/XXXX/XXXX, I was given to a Supervisor, XXXX. He was rude, and told me that they did n't have to remove anything. I asked XXXX who they report to, and he advised "" No one! '' I asked to be transferred to someone else, so he transferred me to an empty line which hung up on me. In calling back, I asked to speak with a Supervisor, other than XXXX, so XXXX XXXX answered the phone. He advised that he was the General Manager and would process a XXXX form to the credit bureaus and send a copy to my email. I advised him that I 've been told before by his company that this would be taken care of and it still has not! I advised XXXX XXXX that this company is hindering me from moving forward, as my credit report is marked with something that is NOT my responsibility and legally can not and should not have been placed on my report. This needs to stop immediately! There are consumers out there that should be protected from companies such as this XXXX. 
",,"Commonwealth Financial Systems, Inc.",FL,346XX,,Consent provided,Web,2016-03-16,Closed with explanation,Yes,1830066
1200,13615,2016-03-15,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,JPMorgan Chase & Co.,MD,21208,,Consent not provided,Web,2016-03-15,Closed with explanation,Yes,1832550
1201,35857,2015-02-14,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,"Diversified Consultants, Inc.",MO,63011,,,Web,2015-02-14,Closed with explanation,Yes,1241066
1202,60884,2014-11-05,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Encore Capital Group,LA,70812,,,Web,2014-11-10,Closed with non-monetary relief,Yes,1103143
1203,96919,2016-04-28,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,"I never received written notice of this debt from the company and never got the opportunity to dispute or validate the debt within the 30 day grace period. The collection account never showed up on my credit report as well, yet now they are charging me for legal fees for a court summons, but I have yet to see any paperwork for the court summons. 
",Company believes it acted appropriately as authorized by contract or law,Columbia Recovery Group LLC,WA,980XX,,Consent provided,Web,2016-04-28,Closed with explanation,Yes,1902220
1204,58508,2014-01-28,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,"Portfolio Recovery Associates, Inc.",NY,10040,Servicemember,,Web,2014-01-27,Closed with explanation,Yes,687923
1205,94462,2014-07-03,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,,,Gatestone & Co. International Inc.,MD,20743,Older American,,Web,2014-07-07,Closed with non-monetary relief,Yes,922525
1206,65398,2015-12-16,Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,,,"NCB Management Services, Inc.",GA,30019,,Consent not provided,Web,2015-12-17,Closed with explanation,Yes,1701227
1207,11257,2016-03-30,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,"sent letter requesting verification of debt a month ago still no reply also the debt was removed by previous collection agency because of lack of verification 
",,"Commonwealth Financial Systems, Inc.",NY,114XX,,Consent provided,Web,2016-03-30,Closed with explanation,Yes,1857724
1208,32710,2014-07-02,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,American Recovery Service Incorporated,TN,37849,,,Web,2014-07-02,Closed with explanation,Yes,921775
